Unnamed: 0,出口总额：百万美元：月度：美国
区域,美国
次国家,
频率,月
单位,百万美元
数据来源,CEIC Data
状态,继续
数列ID,414259457
SR码,SR197161517
贸易代码,
助记符,
函数说明,
首次观测日期,01/1989
最后观测日期,12/2023
最后更新时间,07/02/2024
数列备注,"The U.S. Census Bureau provides monthly Total Exports, FAS, in USD."
09/2003,60239
10/2003,66389
11/2003,64492
12/2003,62959
01/2004,58924
02/2004,63118
03/2004,73890
04/2004,67556
05/2004,69296
06/2004,68403
07/2004,63879
08/2004,67170
09/2004,69226
10/2004,73091
11/2004,69209
12/2004,71111
01/2005,66149
02/2005,68256
03/2005,79513
04/2005,75914
05/2005,75852
06/2005,77589
07/2005,70027
08/2005,76693
09/2005,74304
10/2005,79147
11/2005,78241
12/2005,79396
01/2006,74338
02/2006,76935
03/2006,90853
04/2006,82448
05/2006,86969
06/2006,89731
07/2006,79354
08/2006,88246
09/2006,87545
10/2006,91665
11/2006,90044
12/2006,87839
01/2007,85128
02/2007,83797
03/2007,99459
04/2007,90877
05/2007,96726
06/2007,97886
07/2007,90650
08/2007,99867
09/2007,96866
10/2007,104976
11/2007,101936
12/2007,100030
01/2008,98677
02/2008,104740
03/2008,110932
04/2008,109857
05/2008,112627
06/2008,116787
07/2008,114522
08/2008,116418
09/2008,106072
10/2008,111239
11/2008,97085
12/2008,88486
01/2009,78151
02/2009,80349
03/2009,87848
04/2009,80822
05/2009,83651
06/2009,86830
07/2009,85635
08/2009,87315
09/2009,91458
10/2009,100005
11/2009,94607
12/2009,99372
01/2010,92601
02/2010,93858
03/2010,110510
04/2010,102477
05/2010,105463
06/2010,107153
07/2010,104051
08/2010,106871
09/2010,107683
10/2010,117262
11/2010,113117
12/2010,117447
01/2011,110183
02/2011,109541
03/2011,131726
04/2011,124052
05/2011,124236
06/2011,125001
07/2011,120262
08/2011,126732
09/2011,127032
10/2011,131099
11/2011,125752
12/2011,126891
01/2012,117839
02/2012,123612
03/2012,140219
04/2012,127411
05/2012,131233
06/2012,132579
07/2012,121408
08/2012,128583
09/2012,128260
10/2012,133718
11/2012,130204
12/2012,130754
01/2013,123032
02/2013,123444
03/2013,136642
04/2013,129461
05/2013,132969
06/2013,134550
07/2013,127281
08/2013,132584
09/2013,128378
10/2013,142061
11/2013,136200
12/2013,131915
01/2014,126619
02/2014,123630
03/2014,142290
04/2014,133990
05/2014,138182
06/2014,138482
07/2014,133327
08/2014,137626
09/2014,133669
10/2014,145614
11/2014,134723
12/2014,133722
01/2015,120872
02/2015,118234
03/2015,133669
04/2015,128500
05/2015,128206
06/2015,130976
07/2015,124243
08/2015,122759
09/2015,124915
10/2015,130302
11/2015,120541
12/2015,120112
01/2016,107960
02/2016,113460
03/2016,125527
04/2016,118713
05/2016,119616
06/2016,125098
07/2016,115805
08/2016,122658
09/2016,124483
10/2016,128525
11/2016,122999
12/2016,126614
01/2017,117528
02/2017,119234
03/2017,135977
04/2017,123925
05/2017,127881
06/2017,132711
07/2017,122202
08/2017,129237
09/2017,130343
10/2017,136312
11/2017,135682
12/2017,136163
01/2018,125034
02/2018,128235
03/2018,149547
04/2018,138235
05/2018,145513
06/2018,145503
07/2018,133740
08/2018,140118
09/2018,139331
10/2018,147077
11/2018,139337
12/2018,134018
01/2019,129662
02/2019,129916
03/2019,148306
04/2019,134814
05/2019,142241
06/2019,138008
07/2019,133201
08/2019,138316
09/2019,134043
10/2019,142272
11/2019,136820
12/2019,135221
01/2020,129010
02/2020,130977
03/2020,133174
04/2020,94691
05/2020,90954
06/2020,105015
07/2020,112991
08/2020,118127
09/2020,121444
10/2020,132593
11/2020,126975
12/2020,132567
01/2021,127851
02/2021,123861
03/2021,152434
04/2021,143701
05/2021,145477
06/2021,147741
07/2021,143771
08/2021,147906
09/2021,142079
10/2021,163682
11/2021,156286
12/2021,159510
01/2022,147848
02/2022,150555
03/2022,179314
04/2022,173534
05/2022,179048
06/2022,182663
07/2022,175897
08/2022,181182
09/2022,175980
10/2022,180101
11/2022,171280
12/2022,167755
01/2023,165342
02/2023,158851
03/2023,184621
04/2023,162064
05/2023,167128
06/2023,167303
07/2023,159619
08/2023,171405
09/2023,171272
10/2023,178021
11/2023,166193
12/2023,167724
