Unnamed: 0,出口总额：百万美元：月度：法国
区域,法国
次国家,
频率,月
单位,百万美元
数据来源,CEIC Data
状态,继续
数列ID,414259337
SR码,SR197160757
贸易代码,
助记符,
函数说明,
首次观测日期,01/2000
最后观测日期,12/2023
最后更新时间,07/02/2024
数列备注,"1. CEIC converts monthly Total Exports into USD.
2. The General Directorate of Customs and Excise provides Total Exports, FOB, in EUR. Federal Reserve Board average market exchange rate is used for currency conversions.
3. Total Exports includes Military Equipment."
09/2006,43140.30204547
10/2006,44666.70327279
11/2006,45475.30802256
12/2006,41410.87976582
01/2007,41464.56109211
02/2007,42761.13621723
03/2007,49189.02093635
04/2007,44918.56336486
05/2007,44858.1312933
06/2007,48977.25537758
07/2007,47928.44669159
08/2007,37749.47042892
09/2007,47438.66406357
10/2007,54717.34493292
11/2007,51760.51151931
12/2007,45725.45138578
01/2008,52249.05248149
02/2008,54469.56537756
03/2008,55558.49573332
04/2008,59639.91744085
05/2008,51577.06359894
06/2008,57682.10889625
07/2008,59643.08733119
08/2008,39759.3632807
09/2008,52919.11189402
10/2008,48936.94765682
11/2008,40640.61590019
12/2008,42239.43904922
01/2009,36034.27541923
02/2009,36298.69042541
03/2009,40260.55525767
04/2009,37180.26329761
05/2009,37138.95345115
06/2009,42134.49252657
07/2009,44684.32285291
08/2009,31579.21782175
09/2009,44650.51227117
10/2009,47364.95145656
11/2009,43429.98552478
12/2009,42331.58448509
01/2010,39572.45767788
02/2010,41477.76011614
03/2010,48174.85672251
04/2010,44671.90135392
05/2010,37548.29437049
06/2010,45629.68104228
07/2010,45759.61088586
08/2010,34737.45672269
09/2010,45097.90561647
10/2010,47527.51880176
11/2010,48729.76086343
12/2010,44987.09656846
01/2011,43438.36761912
02/2011,47282.53451537
03/2011,57130.09814168
04/2011,50575.29616285
05/2011,53688.87573892
06/2011,52438.44229827
07/2011,49295.85778468
08/2011,43934.9451499
09/2011,50918.88797108
10/2011,49965.25529354
11/2011,51772.57902894
12/2011,46635.7903032
01/2012,45576.17291158
02/2012,48921.02887007
03/2012,53847.69511815
04/2012,46575.87196647
05/2012,46782.87923855
06/2012,48659.07991348
07/2012,46890.90960212
08/2012,39281.11795131
09/2012,46977.42125384
10/2012,52424.04206243
11/2012,49760.06299167
12/2012,43291.38812952
01/2013,47113.45507487
02/2013,47065.52592172
03/2013,50247.27730208
04/2013,50781.86990859
05/2013,45955.9253114
06/2013,48787.98949471
07/2013,50914.93758045
08/2013,39075.25855655
09/2013,48042.243497
10/2013,55296.32097837
11/2013,48741.63372502
12/2013,47507.81568475
01/2014,47929.91283854
02/2014,49322.45103749
03/2014,52773.17912274
04/2014,51059.71311437
05/2014,47862.55438429
06/2014,50378.99121158
07/2014,51980.25275476
08/2014,37011.70549611
09/2014,49144.46813529
10/2014,51699.34171888
11/2014,45790.87763196
12/2014,45215.37462301
01/2015,40298.24253667
02/2015,42042.66993904
03/2015,44209.67983723
04/2015,42554.26862375
05/2015,38879.02706307
06/2015,48714.10435986
07/2015,43741.66722944
08/2015,32954.76464393
09/2015,43836.89316028
10/2015,45335.29541884
11/2015,41404.07462306
12/2015,41739.71461543
01/2016,37493.17016966
02/2016,41248.92946949
03/2016,45038.14346963
04/2016,43161.31874468
05/2016,42788.7713513
06/2016,45524.41921602
07/2016,40438.08444399
08/2016,34953.51213145
09/2016,43208.37042285
10/2016,41094.33517382
11/2016,42671.56778869
12/2016,43709.02489816
01/2017,37714.90051452
02/2017,39565.81483778
03/2017,47632.68118946
04/2017,39403.94932184
05/2017,45459.69977725
06/2017,47267.34078371
07/2017,43971.96093096
08/2017,38678.12481996
09/2017,48313.17161325
10/2017,49356.8939425
11/2017,49896.0069279
12/2017,48030.48783151
01/2018,47130.42766805
02/2018,47796.52208699
03/2018,54775.2937006
04/2018,49411.2896981
05/2018,45950.0893003
06/2018,50911.09689413
07/2018,50702.38359862
08/2018,39221.6947899
09/2018,45900.31129539
10/2018,53938.45745156
11/2018,49805.002851
12/2018,45453.99611091
01/2019,46486.10363169
02/2019,47142.61119381
03/2019,51852.02890619
04/2019,48373.60383427
05/2019,50146.84615537
06/2019,47564.37444054
07/2019,50674.84110005
08/2019,38209.19566343
09/2019,45008.56341983
10/2019,52381.74613473
11/2019,46768.93733628
12/2019,45277.32464147
01/2020,43050.25202171
02/2020,44705.64020576
03/2020,42559.13329726
04/2020,26904.63778383
05/2020,28535.98424916
06/2020,38801.89153451
07/2020,42931.80468185
08/2020,33184.77186088
09/2020,45442.9602638
10/2020,49058.43820494
11/2020,47191.65316187
12/2020,47955.3050862
01/2021,44062.43952862
02/2021,45774.58073156
03/2021,53328.10089678
04/2021,50107.02692484
05/2021,46447.51849447
06/2021,54571.41601397
07/2021,48845.55404861
08/2021,41408.0731128
09/2021,51129.51353196
10/2021,52575.83972661
11/2021,52510.17519496
12/2021,52536.08906562
01/2022,51622.49566106
02/2022,51357.6298022
03/2022,57548.93121926
04/2022,50675.79246486
05/2022,52262.2684164
06/2022,55762.05880411
07/2022,48788.09743685
08/2022,45263.46232983
09/2022,53846.60044335
10/2022,52222.87080142
11/2022,54068.55974912
12/2022,55881.29352967
01/2023,52848.25280204
02/2023,53913.46563959
03/2023,60526.79011765
04/2023,51828.33608821
05/2023,56454.06507683
06/2023,61105.07967492
07/2023,55236.50378241
08/2023,46464.59921002
09/2023,52330.15223779
10/2023,56050.49469926
11/2023,57532.19647858
12/2023,52329.38184992
